r,t,agr,man,ser
USA,2015,1.0449,1.0337,0.99902
USA,2051,1.0449,1.0337,0.99902
EUR,2015,1.0408,1.0366,1.00398
EUR,2051,1.0408,1.0366,1.00398
CAZ,2015,1.0414,1.0306,1.00351
CAZ,2051,1.0414,1.0306,1.00351
JPN,2015,1.0537,1.0414,1.00739
JPN,2051,1.0537,1.0414,1.00739
NEU,2015,1.0235,1.0274,1.00383
NEU,2051,1.0235,1.0274,1.00383
CHA,2015,1.068,1.0577,1.0116
CHA,2051,1.068,1.0577,1.0116
REF,2015,1.057,1.0643,1.00878
REF,2051,1.057,1.0643,1.00878
LAM,2015,1.0161,1.027,1.00832
LAM,2051,1.0161,1.027,1.00832
MEA,2015,1.0159,1.0129,1.00401
MEA,2051,1.0159,1.0129,1.00401
OAS,2015,0.99698,1.0166,1.00918
OAS,2051,0.99698,1.0166,1.00918
IND,2015,1.0337,0.99586,1.0172
IND,2051,1.0337,0.99586,1.0172
SSA,2015,1.00798,1.0184,0.99726
SSA,2051,1.00798,1.0184,0.99726
