dummy,dummy,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5,pop_SDP,pop_SDP_EI,pop_SDP_MC,pop_SDP_RC,pop_SSP2EU
2005,LAM,366.66756568,367.19796126,365.99129461,367.25904748,368.17708188,366.66756568,366.66756568,366.66756568,366.66756568,366.56072021
2005,OAS,641.27763332,642.30865934,641.23911328,642.50044408,642.99536568,641.27763332,641.27763332,641.27763332,641.27763332,642.30865934
2005,SSA,388.36541185,392.73799466,393.56377111,393.75129552,389.06751303,388.36541185,388.36541185,388.36541185,388.36541185,392.14268252
2005,EUR,334.43135706,334.82245556,337.04436499,334.82762263,332.66100676,334.43135706,334.43135706,334.43135706,334.43135706,334.50698684
2005,NEU,65.79200942,65.86478627,66.00624116,65.86722953,65.72429943,65.79200942,65.79200942,65.79200942,65.79200942,65.86478627
2005,MEA,239.91458366,240.12662972,240.9287581,240.26492958,239.42708632,239.91458366,239.91458366,239.91458366,239.91458366,239.76362972
2005,REF,200.74543043,201.27448773,201.68148276,201.29138514,200.77456143,200.74543043,200.74543043,200.74543043,200.74543043,201.27448773
2005,CAZ,39.5343122,39.57430709,40.23719934,39.57414937,38.92344235,39.5343122,39.5343122,39.5343122,39.5343122,39.57430709
2005,CHA,980.12694472,981.2504141,982.18753159,981.28823368,980.28788608,980.12694472,980.12694472,980.12694472,980.12694472,965.081049
2005,IND,715.82598493,716.82753308,717.82238277,717.14403347,716.25601098,715.82598493,715.82598493,715.82598493,715.82598493,716.82753308
2005,JPN,86.59781478,86.66726824,86.85141035,86.66782623,86.49576182,86.59781478,86.59781478,86.59781478,86.59781478,86.66726824
2005,USA,201.39081054,201.68941992,203.427595,201.69063139,199.91498273,201.39081054,201.39081054,201.39081054,201.39081054,201.68941992
2010,LAM,394.44143284,394.70663063,394.10329731,394.73717374,395.19619094,394.44143284,394.44143284,394.44143284,394.44143284,394.0382101
2010,OAS,701.10961666,701.62512967,701.09035664,701.72102204,701.96848284,701.10961666,701.10961666,701.10961666,701.10961666,701.62512967
2010,SSA,455.29730593,457.48359733,457.89648556,457.99024776,455.64835652,455.29730593,455.29730593,455.29730593,455.29730593,456.83829126
2010,EUR,333.19717853,333.39272778,334.50368249,333.39531132,332.31200338,333.19717853,333.19717853,333.19717853,333.19717853,333.06807025
2010,NEU,69.74140471,69.77779314,69.84852058,69.77901477,69.70754972,69.74140471,69.74140471,69.74140471,69.74140471,69.77779314
2010,MEA,270.05059183,270.15661486,270.55767905,270.22576479,269.80684316,270.05059183,270.05059183,270.05059183,270.05059183,269.79361486
2010,REF,199.22551522,199.49004386,199.69354138,199.49849257,199.24008071,199.22551522,199.22551522,199.22551522,199.22551522,199.49004386
2010,CAZ,41.3506561,41.37065355,41.70209967,41.37057468,41.04522118,41.3506561,41.3506561,41.3506561,41.3506561,41.37065355
2010,CHA,1009.05532236,1009.61705705,1010.0856158,1009.63596684,1009.13579304,1009.05532236,1009.05532236,1009.05532236,1009.05532236,992.8471745
2010,IND,788.00599246,788.50676654,789.00419139,788.66501674,788.22100549,788.00599246,788.00599246,788.00599246,788.00599246,788.50676654
2010,JPN,82.32570739,82.36043412,82.45250518,82.36071311,82.27468091,82.32570739,82.32570739,82.32570739,82.32570739,82.36043412
2010,USA,206.49570527,206.64500996,207.5140975,206.64561569,205.75779137,206.49570527,206.49570527,206.49570527,206.49570527,206.64500996
2015,LAM,422.2153,422.2153,422.2153,422.2153,422.2153,422.2153,422.2153,422.2153,422.2153,421.5157
2015,OAS,760.9416,760.9416,760.9416,760.9416,760.9416,760.9416,760.9416,760.9416,760.9416,760.9416
2015,SSA,522.2292,522.2292,522.2292,522.2292,522.2292,522.2292,522.2292,522.2292,522.2292,521.5339
2015,EUR,331.963,331.963,331.963,331.963,331.963,331.963,331.963,331.963,331.963,331.74576698
2015,NEU,73.6908,73.6908,73.6908,73.6908,73.6908,73.6908,73.6908,73.6908,73.6908,73.6908
2015,MEA,300.1866,300.1866,300.1866,300.1866,300.1866,300.1866,300.1866,300.1866,300.1866,299.8236
2015,REF,197.7056,197.7056,197.7056,197.7056,197.7056,197.7056,197.7056,197.7056,197.7056,197.7056
2015,CAZ,43.167,43.167,43.167,43.167,43.167,43.167,43.167,43.167,43.167,43.167
2015,CHA,1037.9837,1037.9837,1037.9837,1037.9837,1037.9837,1037.9837,1037.9837,1037.9837,1037.9837,1020.6133
2015,IND,860.186,860.186,860.186,860.186,860.186,860.186,860.186,860.186,860.186,860.186
2015,JPN,78.0536,78.0536,78.0536,78.0536,78.0536,78.0536,78.0536,78.0536,78.0536,78.0536
2015,USA,211.6006,211.6006,211.6006,211.6006,211.6006,211.6006,211.6006,211.6006,211.6006,211.6006
2020,LAM,445.8658,445.6229,446.2611,445.5841,445.2121,445.8658,445.8658,445.8658,445.8658,444.91311001
2020,OAS,817.7852,817.4184,817.9649,817.2707,817.0283,817.7852,817.7852,817.7852,817.7852,817.41614835
2020,SSA,608.6752,608.1845,607.8385,607.8293,608.6229,608.6752,608.6752,608.6752,608.6752,607.4465121
2020,EUR,325.6479,325.5023,324.605,325.4855,326.175,325.6479,325.6479,325.6479,325.6479,325.37101951
2020,NEU,76.3647,76.3257,76.3351,76.3323,76.3381,76.3647,76.3647,76.3647,76.3647,76.34245143
2020,MEA,327.0856,326.9629,326.7786,326.892,327.1015,327.0856,327.0856,327.0856,327.0856,326.53470393
2020,REF,192.9479,192.7309,192.5159,192.738,192.9803,192.9479,192.9479,192.9479,192.9479,192.8193176
2020,CAZ,43.758,43.7376,43.3504,43.7402,44.0334,43.758,43.758,43.758,43.758,43.6182346
2020,CHA,1025.9671,1025.4553,1025.2225,1025.5003,1025.8076,1025.9671,1025.9671,1025.9671,1025.9671,1008.9966801
2020,IND,926.9156,926.482,926.0914,926.4891,926.8241,926.9156,926.9156,926.9156,926.9156,926.48174288
2020,JPN,74.6377,74.6134,74.5499,74.6285,74.6738,74.6377,74.6377,74.6377,74.6377,74.57366047
2020,USA,214.1967,214.0603,212.8525,214.1026,215.0514,214.1967,214.1967,214.1967,214.1967,214.54485342
2025,LAM,464.4038,463.6232,465.6158,463.5447,462.0449,464.4038,464.4038,464.4038,464.4038,462.91578649
2025,OAS,866.076,864.8574,866.6533,864.3858,863.2773,866.076,866.076,866.076,866.076,864.85688025
2025,SSA,707.9545,705.8254,704.6509,704.3243,707.6068,707.9545,707.9545,707.9545,707.9545,705.04603266
2025,EUR,319.0173,318.659,315.8551,318.6468,321.0491,319.0173,319.0173,319.0173,319.0173,320.56571602
2025,NEU,78.3848,78.2929,78.2856,78.2982,78.3075,78.3848,78.3848,78.3848,78.3848,78.3089313
2025,MEA,356.4376,355.9689,355.4527,355.717,356.4358,356.4376,356.4376,356.4376,356.4376,355.4882433
2025,REF,190.5389,190.0037,189.3071,190.027,190.7224,190.5389,190.5389,190.5389,190.5389,190.07605318
2025,CAZ,44.2455,44.2011,42.9961,44.2088,45.2521,44.2455,44.2455,44.2455,44.2455,44.08058229
2025,CHA,1019.8228,1018.5829,1017.9391,1018.6642,1019.2622,1019.8228,1019.8228,1019.8228,1019.8228,1002.98671165
2025,IND,987.6582,985.9402,984.8875,986.1144,987.3219,987.6582,987.6582,987.6582,987.6582,985.93992638
2025,JPN,72.4211,72.353,72.1304,72.371,72.5608,72.4211,72.4211,72.4211,72.4211,72.31446437
2025,USA,215.922,215.5655,211.7633,215.6496,219.0581,215.922,215.922,215.922,215.922,216.05346064
2030,LAM,478.3231,476.7739,481.0112,476.6235,473.1382,478.3231,478.3231,478.3231,478.3231,476.08386505
2030,OAS,909.4257,906.7953,910.7584,905.7359,903.1183,909.4257,909.4257,909.4257,909.4257,906.7966456
2030,SSA,819.455,814.3539,811.7249,810.4074,818.3965,819.455,819.455,819.455,819.455,813.54313619
2030,EUR,310.4422,309.9235,303.9493,309.941,315.1379,310.4422,310.4422,310.4422,310.4422,312.21223213
2030,NEU,80.0123,79.8495,79.7895,79.8553,79.8887,80.0123,80.0123,80.0123,80.0123,79.86483905
2030,MEA,388.5747,387.5475,386.5845,386.9789,388.4506,388.5747,388.5747,388.5747,388.5747,387.00959548
2030,REF,191.3579,190.4868,189.0214,190.5334,191.9142,191.3579,191.3579,191.3579,191.3579,190.54692427
2030,CAZ,44.6761,44.6285,42.0973,44.6403,46.9113,44.6761,44.6761,44.6761,44.6761,44.50719106
2030,CHA,998.3241,996.096,995.1086,996.2523,997.1353,998.3241,998.3241,998.3241,998.3241,981.3892695
2030,IND,1036.0103,1032.442,1030.1561,1032.6879,1035.2529,1036.0103,1036.0103,1036.0103,1036.0103,1032.44171348
2030,JPN,69.9151,69.8001,69.319,69.814,70.2379,69.9151,69.9151,69.9151,69.9151,69.76292406
2030,USA,217.2828,216.7231,208.7309,216.8473,224.2736,217.2828,217.2828,217.2828,217.2828,217.21368102
2035,LAM,485.6114,486.5659,497.2978,483.7557,477.4949,485.6114,485.6114,485.6114,485.6114,485.89125621
2035,OAS,936.6832,940.1485,954.3676,937.2866,926.6042,936.6832,936.6832,936.6832,936.6832,940.15214396
2035,SSA,914.0628,925.2513,933.2588,929.2712,912.0641,914.0628,914.0628,914.0628,914.0628,924.41815401
2035,EUR,299.801,301.0232,293.4901,299.3075,307.4402,299.801,299.801,299.801,299.801,303.22838602
2035,NEU,80.4055,80.5575,80.9732,80.0053,80.2766,80.4055,80.4055,80.4055,80.4055,80.5721891
2035,MEA,412.5448,414.4591,417.081,413.0697,412.181,412.5448,412.5448,412.5448,412.5448,413.86862281
2035,REF,192.78,192.2932,191.2113,191.1637,193.8037,192.78,192.78,192.78,192.78,192.34538026
2035,CAZ,45.377,45.632,41.928,45.3807,48.91,45.377,45.377,45.377,45.377,45.508553
2035,CHA,941.2812,941.7853,946.3043,936.8434,939.4348,941.2812,941.2812,941.2812,941.2812,927.9448652
2035,IND,1068.9618,1069.884,1073.9448,1061.6967,1067.7454,1068.9618,1068.9618,1068.9618,1068.9618,1069.88370308
2035,JPN,65.9607,66.1533,65.7762,65.8314,66.4881,65.9607,65.9607,65.9607,65.9607,66.11806637
2035,USA,219.8718,220.7045,209.6782,219.3874,230.9893,219.8718,219.8718,219.8718,219.8718,221.20409343
2040,LAM,484.402,491.0357,512.5051,484.1852,473.2623,484.402,484.402,484.402,484.402,490.37333989
2040,OAS,949.6953,966.5329,998.7301,962.0498,935.5849,949.6953,949.6953,949.6953,949.6953,966.53889168
2040,SSA,984.7391,1035.571,1068.0982,1060.1943,981.5634,984.7391,984.7391,984.7391,984.7391,1034.71047868
2040,EUR,288.769,293.3497,285.7224,288.6178,299.624,288.769,288.769,288.769,288.769,295.25133498
2040,NEU,79.6029,80.4732,81.8467,78.9722,79.5093,79.6029,79.6029,79.6029,79.6029,80.48721336
2040,MEA,426.6076,434.909,445.0176,433.0947,425.8404,426.6076,426.6076,426.6076,426.6076,434.2721583
2040,REF,190.2952,190.7649,190.8656,187.7223,191.8687,190.2952,190.2952,190.2952,190.2952,190.80781851
2040,CAZ,45.8584,46.7023,41.9392,45.9729,50.7598,45.8584,45.8584,45.8584,45.8584,46.57639461
2040,CHA,883.3481,889.545,904.29,875.9887,880.8192,883.3481,883.3481,883.3481,883.3481,876.51880452
2040,IND,1085.6816,1097.7764,1115.9304,1075.1259,1083.9663,1085.6816,1085.6816,1085.6816,1085.6816,1097.77609534
2040,JPN,60.1129,60.8923,60.9213,60.0165,60.8641,60.1129,60.1129,60.1129,60.1129,60.85986841
2040,USA,222.3364,226.0292,213.0165,222.1318,237.8737,222.3364,222.3364,222.3364,222.3364,226.54084659
2045,LAM,476.1354,489.8817,525.1855,478.1867,461.985,476.1354,476.1354,476.1354,476.1354,489.2131106
2045,OAS,950.7392,985.0035,1041.1972,979.8728,932.4596,950.7392,950.7392,950.7392,950.7392,985.01189907
2045,SSA,1038.5713,1144.4101,1214.0644,1202.1376,1034.009,1038.5713,1038.5713,1038.5713,1038.5713,1143.51796998
2045,EUR,277.4407,286.6411,279.7748,278.0327,291.6918,277.4407,277.4407,277.4407,277.4407,287.94138173
2045,NEU,77.8578,79.73,82.4501,77.0225,77.8313,77.8578,77.8578,77.8578,77.8578,79.74335648
2045,MEA,430.777,447.8124,468.6668,446.4678,429.4084,430.777,430.777,430.777,430.777,447.13674996
2045,REF,184.7996,186.6066,188.3926,181.2823,187.0171,184.7996,184.7996,184.7996,184.7996,186.6399192
2045,CAZ,46.1119,47.7736,41.9794,46.4054,52.4162,46.1119,46.1119,46.1119,46.1119,47.64489795
2045,CHA,836.2605,848.8922,876.411,825.4831,833.0383,836.2605,836.2605,836.2605,836.2605,836.92651734
2045,IND,1089.6336,1115.653,1154.426,1074.9577,1087.3904,1089.6336,1089.6336,1089.6336,1089.6336,1115.65269038
2045,JPN,55.3481,56.8874,57.4823,55.2989,56.3362,55.3481,55.3481,55.3481,55.3481,56.85710144
2045,USA,223.8045,231.6085,217.2662,224.2008,243.962,223.8045,223.8045,223.8045,223.8045,232.13277606
