,GrainCrops,MeatDairy,OthFoodBev,TextAppar,HousUtils,WRTrade,Mnfcs,TransComm,FinService,HousOthServ
aus,-0.0017,0.914,0.856,0.9092,1.009,1.0258,1.0085,0.9945,1.027,1.0225
nzl,0.0031,0.8975,0.8259,0.8915,1.0207,1.0433,1.0202,1.0013,1.0449,1.0388
xoc,0.268,0.646,0.5443,0.6358,1.0221,1.1797,1.0041,0.9341,1.1912,1.1446
chn,0.3495,0.7037,0.6034,0.6935,1.1086,1.3064,1.0806,1.0105,1.3208,1.2612
hkg,0.0029,0.9111,0.8396,0.9051,1.0337,1.056,1.0333,1.0144,1.0576,1.0516
jpn,0.0042,0.8747,0.7924,0.8677,1.0225,1.0504,1.022,0.9987,1.0524,1.0448
kor,0.0035,0.829,0.7221,0.8196,1.0436,1.088,1.0427,1.0068,1.0911,1.079
mng,0.4245,0.7422,0.6483,0.7326,1.1523,1.3923,1.111,1.0508,1.4096,1.3358
twn,0.0702,0.751,0.6331,0.7401,1.029,1.0956,1.0267,0.9772,1.1004,1.0819
xea,0.5976,0.7442,0.6966,0.7402,0.9282,1.3454,0.7939,0.9178,1.3691,1.2181
brn,0.0888,0.7565,0.6354,0.7452,1.0526,1.1261,1.05,0.9965,1.1314,1.111
khm,0.6818,0.8516,0.7963,0.8471,1.0619,1.5428,0.8956,1.0505,1.5701,1.3957
idn,0.4424,0.7002,0.6214,0.6923,1.0638,1.3151,1.0154,0.9731,1.333,1.2538
lao,0.6806,0.9268,0.8484,0.9193,1.3058,1.722,1.1922,1.2208,1.7502,1.611
mys,0.1607,0.7136,0.5905,0.7017,1.073,1.1815,1.0665,0.9982,1.1894,1.1585
phl,0.4173,0.7068,0.6207,0.698,1.0926,1.3315,1.0518,0.9962,1.3487,1.2744
sgp,0.0024,0.8932,0.8228,0.8873,1.0141,1.0361,1.0137,0.9951,1.0377,1.0318
tha,0.2993,0.6893,0.5824,0.6785,1.1003,1.2834,1.0788,1.0022,1.2969,1.2422
vnm,0.5438,0.7865,0.71,0.7789,1.1539,1.4759,1.0805,1.0645,1.4984,1.3936
xse,0.727,0.8851,0.8349,0.8821,0.9387,1.5518,0.7083,1.0296,1.5691,1.3297
bgd,0.7626,0.9456,0.8861,0.9411,1.139,1.7045,0.9279,1.1507,1.734,1.5258
ind,0.6018,0.7761,0.7165,0.7714,0.9992,1.4327,0.8566,0.9753,1.4588,1.3049
npl,0.7328,0.9027,0.8461,0.899,1.0255,1.6109,0.7913,1.075,1.6358,1.414
pak,0.5948,0.7743,0.7157,0.769,1.0408,1.4275,0.912,0.9923,1.4523,1.3187
lka,0.3486,0.7122,0.6087,0.7017,1.1314,1.3385,1.101,1.0292,1.3537,1.291
xsa,0.7239,0.8882,0.8358,0.8849,0.9868,1.574,0.7466,1.0487,1.5963,1.3709
can,0.0005,0.9074,0.8415,0.9019,1.0185,1.0385,1.0181,1.0012,1.0399,1.0346
usa,-0.0033,0.9207,0.8679,0.9163,1.0057,1.0205,1.0054,0.9928,1.0215,1.0176
mex,0.1167,0.7421,0.6176,0.7302,1.0697,1.1576,1.0659,1.0052,1.164,1.1393
xna,-0.0043,0.9272,0.8728,0.9228,1.0146,1.03,1.0136,1.0014,1.031,1.0269
arg,0.085,0.7399,0.6205,0.7288,1.0323,1.1052,1.0283,0.9768,1.1104,1.0901
bol,0.4864,0.7332,0.6566,0.7255,1.0955,1.3746,1.0351,1.0057,1.3944,1.3051
bra,0.108,0.7378,0.614,0.726,1.0592,1.1443,1.0536,0.9963,1.1505,1.1266
chl,0.0756,0.7751,0.6552,0.764,1.0568,1.1242,1.0548,1.0046,1.1291,1.1104
col,0.2009,0.6977,0.5779,0.6858,1.0828,1.2134,1.072,0.9986,1.223,1.1853
ecu,0.2715,0.6844,0.5753,0.6734,1.0802,1.2404,1.0611,0.9885,1.2521,1.2049
pry,0.2866,0.7185,0.6048,0.707,1.1295,1.2948,1.111,1.0346,1.3068,1.2582
per,0.2719,0.7824,0.6537,0.7695,1.2209,1.3823,1.207,1.1225,1.3941,1.3471
ury,0.0479,0.8046,0.6913,0.7943,1.0491,1.1032,1.047,1.0057,1.107,1.0922
ven,0.0689,0.789,0.667,0.7777,1.0724,1.1394,1.0687,1.02,1.1443,1.1257
xsm,0.2042,0.7302,0.6041,0.7177,1.1292,1.2624,1.1169,1.0425,1.2722,1.2338
cri,0.1359,0.7364,0.6106,0.7243,1.0827,1.1803,1.0778,1.0127,1.1874,1.1598
gtm,0.3482,0.7449,0.6352,0.7337,1.1734,1.3699,1.15,1.0712,1.3842,1.3255
hnd,0.509,0.7823,0.6983,0.7739,1.1774,1.4689,1.1187,1.079,1.4896,1.3969
nic,0.604,0.8209,0.7517,0.8142,1.1562,1.525,1.0616,1.0809,1.5499,1.4265
pan,0.0896,0.7889,0.6584,0.7767,1.1143,1.1966,1.1105,1.0518,1.2026,1.1796
slv,0.3096,0.7789,0.6557,0.7665,1.2236,1.4017,1.2056,1.1211,1.4147,1.3623
xca,0.2568,0.774,0.638,0.7607,1.2323,1.4041,1.2132,1.1281,1.4167,1.3665
dom,0.2208,0.7257,0.6028,0.7135,1.1249,1.2625,1.1122,1.0373,1.2725,1.2328
jam,0.2188,0.6864,0.5703,0.6749,1.0711,1.2077,1.0565,0.9857,1.2177,1.1781
pri,0.0066,0.8671,0.7906,0.8606,1.0024,1.0277,1.002,0.9808,1.0294,1.0226
tto,0.0444,0.8205,0.7014,0.8097,1.0798,1.1376,1.0775,1.0334,1.1418,1.1258
xcb,0.2795,0.6892,0.5799,0.6782,1.0892,1.2537,1.0661,0.9961,1.2658,1.2172
aut,0.0012,0.908,0.8405,0.9024,1.0223,1.043,1.0219,1.0045,1.0444,1.0389
bel,0.0015,0.9205,0.8503,0.9146,1.04,1.0617,1.0396,1.0213,1.0632,1.0574
bgr,0.1876,0.7259,0.6019,0.7137,1.1036,1.2234,1.0961,1.0234,1.2321,1.1978
hrv,0.0916,0.7861,0.66,0.7743,1.0943,1.1709,1.0917,1.0359,1.1764,1.1551
cyp,0.0245,0.8425,0.743,0.8338,1.0376,1.0772,1.0368,1.0047,1.08,1.0693
cze,0.076,0.7858,0.6642,0.7745,1.071,1.139,1.0689,1.0181,1.1439,1.1251
dnk,-0.0006,0.9248,0.8611,0.9195,1.031,1.05,1.0307,1.0146,1.0513,1.0463
est,0.0514,0.8409,0.7229,0.8302,1.0957,1.152,1.0943,1.0504,1.156,1.1405
fin,0.0019,0.9063,0.8364,0.9005,1.0257,1.0475,1.0253,1.007,1.049,1.0432
fra,0.004,0.8967,0.8224,0.8904,1.0259,1.0497,1.0255,1.0055,1.0514,1.045
deu,0.0024,0.9058,0.8345,0.8998,1.0281,1.0505,1.0277,1.0089,1.052,1.046
grc,0.0203,0.8685,0.7712,0.86,1.0551,1.0922,1.0544,1.024,1.0949,1.0848
hun,0.1199,0.7385,0.6147,0.7267,1.0657,1.1539,1.0619,1.0011,1.1603,1.1355
irl,0.0104,0.8697,0.7856,0.8625,1.0225,1.0516,1.022,0.9978,1.0537,1.0458
ita,0.0075,0.8819,0.8015,0.875,1.0253,1.0523,1.0248,1.0023,1.0542,1.0469
lva,0.0564,0.8361,0.7162,0.8252,1.0993,1.1583,1.0978,1.0522,1.1626,1.1463
ltu,0.0533,0.8449,0.7252,0.834,1.1049,1.1627,1.1035,1.0586,1.1668,1.151
lux,-0.0056,0.9679,0.9381,0.9655,1.0125,1.02,1.0123,1.006,1.0205,1.0185
mlt,0.0081,0.8892,0.8069,0.8822,1.0366,1.0644,1.0361,1.0129,1.0664,1.0589
