,GrainCrops,MeatDairy,OthFoodBev,TextAppar,HousUtils,WRTrade,Mnfcs,TransComm,FinService,HousOthServ
aus,-0.0016,0.8265,0.7416,0.8185,0.8646,0.7126,0.8551,0.8369,0.8936,0.5696
nzl,0.0025,0.704,0.6286,0.7084,0.7397,0.6426,0.7588,0.7073,0.8279,0.5848
xoc,0.1101,0.2562,0.2132,0.258,0.3815,0.3608,0.3164,0.3413,0.475,0.3262
chn,0.1543,0.2972,0.2503,0.3007,0.462,0.485,0.4257,0.4169,0.5639,0.3824
hkg,0.0022,0.674,0.622,0.6401,0.7638,0.5408,0.6133,0.7191,0.7939,0.7318
jpn,0.0032,0.6537,0.5656,0.6473,0.6902,0.5884,0.7212,0.6627,0.7689,0.5355
kor,0.0024,0.5574,0.4804,0.5506,0.6202,0.6049,0.6516,0.6121,0.7227,0.5117
mng,0.1481,0.2322,0.2138,0.2361,0.3372,0.4386,0.3794,0.2898,0.4879,0.3768
twn,0.0468,0.4886,0.4087,0.4862,0.63,0.5331,0.6279,0.5861,0.6876,0.4536
xea,0.213,0.2519,0.2338,0.2303,0.3194,0.284,0.2566,0.276,0.4661,0.3702
brn,0.0721,0.6095,0.5074,0.5546,0.6828,0.7643,0.6668,0.6269,0.8898,0.8227
khm,0.1408,0.1689,0.1482,0.1795,0.2257,0.305,0.1745,0.2111,0.3486,0.2335
idn,0.1524,0.2392,0.2028,0.2409,0.3665,0.3775,0.3158,0.3045,0.4608,0.2767
lao,0.1269,0.1938,0.1479,0.2034,0.2892,0.359,0.2507,0.2476,0.3928,0.2997
mys,0.0827,0.3574,0.2888,0.3524,0.4586,0.4946,0.4024,0.4539,0.598,0.5055
phl,0.1312,0.2114,0.1846,0.2214,0.3366,0.3351,0.3126,0.2742,0.396,0.3125
sgp,0.0022,0.7816,0.7038,0.7719,0.8156,0.7333,0.7555,0.7734,0.8415,0.6648
tha,0.1218,0.2758,0.2296,0.2734,0.4264,0.38,0.371,0.3635,0.4992,0.4318
vnm,0.1406,0.1884,0.1672,0.1995,0.2997,0.3288,0.2547,0.2616,0.3989,0.3031
xse,0.1591,0.1854,0.1744,0.2055,0.2158,0.3279,0.1597,0.2289,0.3777,0.2304
bgd,0.1244,0.1719,0.1638,0.1808,0.224,0.3489,0.1716,0.1977,0.354,0.2524
ind,0.1535,0.1969,0.1821,0.2007,0.2543,0.305,0.2177,0.2141,0.3841,0.2761
npl,0.1181,0.1544,0.1531,0.1526,0.1796,0.2802,0.1343,0.1706,0.3079,0.208
pak,0.1421,0.1759,0.1694,0.1732,0.2401,0.2621,0.2093,0.1958,0.3563,0.2855
lka,0.1175,0.2392,0.1961,0.2357,0.3384,0.3948,0.3694,0.2834,0.4609,0.3131
xsa,0.124,0.1599,0.1494,0.1707,0.1854,0.2805,0.1391,0.1764,0.317,0.2054
can,0.0004,0.7516,0.6776,0.746,0.7767,0.6873,0.7602,0.7545,0.8163,0.6224
usa,-0.0029,0.7929,0.7366,0.7843,0.8049,0.7449,0.7988,0.8176,0.8291,0.4878
mex,0.0575,0.3504,0.2809,0.3525,0.5094,0.4787,0.4508,0.4063,0.5622,0.3645
xna,-0.0040,0.8271,0.7495,0.8303,0.8315,0.7937,0.8398,0.8351,0.8811,0.6024
arg,0.0463,0.387,0.3224,0.3872,0.5087,0.4584,0.5091,0.4747,0.5631,0.3865
bol,0.1553,0.2233,0.2011,0.2354,0.34,0.4026,0.3153,0.265,0.4445,0.2988
bra,0.0561,0.3683,0.3044,0.3657,0.4991,0.4883,0.4662,0.4396,0.5621,0.4195
chl,0.0419,0.4101,0.3388,0.4023,0.5445,0.502,0.5221,0.4797,0.5748,0.4414
col,0.0913,0.3049,0.2507,0.3024,0.4166,0.4024,0.4461,0.3833,0.5169,0.4582
dom,0.1156,0.2778,0.2334,0.2822,0.4311,0.4114,0.3909,0.3517,0.5158,0.3794
ecu,0.1049,0.237,0.2066,0.2531,0.3885,0.3523,0.3155,0.3357,0.479,0.4062
pry,0.1016,0.2761,0.2305,0.2716,0.4338,0.458,0.3767,0.3519,0.5208,0.4505
per,0.0277,0.4447,0.3754,0.4408,0.574,0.4916,0.5483,0.507,0.6358,0.4012
ury,0.0393,0.4229,0.3571,0.4358,0.581,0.4669,0.5582,0.4884,0.6301,0.4864
ven,0.0922,0.3148,0.2475,0.316,0.4618,0.477,0.4458,0.4057,0.5356,0.4364
xsm,0.0667,0.3438,0.2789,0.3491,0.4801,0.4521,0.4526,0.4281,0.5522,0.4463
cri,0.1103,0.2277,0.1863,0.2294,0.3644,0.4005,0.3296,0.326,0.4472,0.2627
gtm,0.1398,0.2018,0.168,0.2082,0.3095,0.3795,0.2713,0.2704,0.4085,0.3093
hnd,0.1514,0.1985,0.1689,0.1992,0.263,0.3636,0.2463,0.2425,0.394,0.334
jam,0.0452,0.3647,0.3218,0.3533,0.5164,0.5699,0.4614,0.489,0.5722,0.4187
nic,0.097,0.2366,0.1994,0.2284,0.3783,0.4162,0.3098,0.3075,0.4518,0.3458
pan,0.0876,0.2424,0.1877,0.2451,0.398,0.3934,0.3179,0.3551,0.4822,0.428
pri,0.0882,0.2726,0.2201,0.2816,0.436,0.3905,0.3999,0.3332,0.5079,0.3709
slv,0.086,0.2605,0.2115,0.2639,0.3881,0.3194,0.3794,0.3411,0.4571,0.3556
tto,0.0047,0.6135,0.549,0.5996,0.681,0.5162,0.6339,0.6495,0.684,0.4689
xca,0.0273,0.484,0.3761,0.4896,0.6013,0.5749,0.591,0.4994,0.6321,0.6089
xcb,0.1098,0.2603,0.2154,0.2605,0.3621,0.3763,0.3746,0.3372,0.4659,0.403
aut,0.001,0.7524,0.6785,0.7328,0.7746,0.6243,0.7687,0.7522,0.8615,0.6967
bel,0.0012,0.7274,0.6313,0.6999,0.7534,0.736,0.7051,0.7452,0.8209,0.659
bgr,0.0829,0.3045,0.2449,0.3073,0.4251,0.447,0.406,0.376,0.5388,0.4201
hrv,0.048,0.3845,0.3181,0.3819,0.5218,0.4656,0.5026,0.4801,0.5967,0.4854
cyp,0.015,0.4985,0.4282,0.4974,0.5872,0.4805,0.581,0.5355,0.6411,0.4708
cze,0.0461,0.4579,0.3758,0.4602,0.4876,0.576,0.5705,0.4921,0.6504,0.6267
dnk,-0.0006,0.8071,0.7258,0.7845,0.7792,0.7709,0.8121,0.8126,0.8785,0.7397
est,0.0304,0.4665,0.3841,0.4683,0.5707,0.531,0.587,0.5587,0.6574,0.5446
fin,0.0016,0.7327,0.6647,0.7354,0.7607,0.6771,0.768,0.7532,0.8478,0.6333
fra,0.0032,0.6908,0.6221,0.6945,0.7123,0.6432,0.7271,0.7147,0.8181,0.6293
deu,0.002,0.7322,0.6457,0.7121,0.7356,0.6894,0.733,0.7285,0.8245,0.6808
grc,0.0125,0.5163,0.4439,0.5163,0.5572,0.4985,0.6043,0.4998,0.6445,0.583
hun,0.0662,0.3877,0.3182,0.3916,0.5169,0.4901,0.5131,0.4971,0.6101,0.4579
irl,0.0092,0.7529,0.6625,0.7337,0.7734,0.6388,0.8199,0.7085,0.8547,0.8084
ita,0.0056,0.634,0.5732,0.6292,0.6943,0.5486,0.6964,0.67,0.7646,0.5741
lva,0.0305,0.4302,0.3426,0.4272,0.5332,0.4872,0.5175,0.5231,0.6194,0.4797
ltu,0.0291,0.4322,0.3562,0.4351,0.5584,0.4669,0.5228,0.5091,0.6229,0.5391
