GTAP_commodity,Armington_elasticity,KL_elasticity
pdr,5.05,0.26
wht,4.45,0.26
gro,1.3,0.26
v_f,1.85,0.26
osd,2.45,0.26
c_b,2.7,0.26
pfb,2.5,0.26
ocr,3.25,0.26
ctl,2,0.26
oap,1.3,0.26
rmk,3.65,0.26
wol,6.45,0.26
frs,2.5,0.2
fsh,1.25,0.2
coa,3.05,0.2
oil,5.2,0.2
gas,17.2,0.2
oxt,0.9,0.2
cmt,3.85,1.12
omt,4.4,1.12
vol,3.3,1.12
mil,3.65,1.12
pcr,2.6,1.12
sgr,2.7,1.12
ofd,2,1.12
b_t,1.15,1.12
tex,3.75,1.26
wap,3.7,1.26
lea,4.05,1.26
lum,3.4,1.26
ppp,2.95,1.26
p_c,2.1,1.26
chm,3.3,1.26
bph,3.3,1.26
rpp,3.3,1.26
nmm,2.9,1.26
i_s,2.95,1.26
nfm,4.2,1.26
fmp,3.75,1.26
ele,4.4,1.26
eeq,4.4,1.26
ome,4.05,1.26
mvh,2.8,1.26
otn,4.3,1.26
omf,3.75,1.26
ely,2.8,1.26
gdt,2.8,1.26
wtr,2.8,1.26
cns,1.9,1.4
trd,1.9,1.68
afs,1.9,1.68
otp,1.9,1.68
wtp,1.9,1.68
atp,1.9,1.68
whs,1.9,1.68
cmn,1.9,1.26
ofi,1.9,1.26
ins,1.9,1.26
rsa,1.9,1.26
obs,1.9,1.26
ros,1.9,1.26
osg,1.9,1.26
edu,1.9,1.26
hht,1.9,1.26
dwe,1.9,1.26
