agglomeration,ISO
LAM,ABW
LAM,AIA
LAM,ARG
LAM,ATA
LAM,ATG
LAM,BES
LAM,BHS
LAM,BLM
LAM,BLZ
LAM,BMU
LAM,BOL
LAM,BRA
LAM,BRB
LAM,BVT
LAM,CHL
LAM,COL
LAM,CRI
LAM,CUB
LAM,CUW
LAM,CYM
LAM,DMA
LAM,DOM
LAM,ECU
LAM,FLK
LAM,GLP
LAM,GRD
LAM,GTM
LAM,GUF
LAM,GUY
LAM,HND
LAM,HTI
LAM,JAM
LAM,KNA
LAM,LCA
LAM,MAF
LAM,MEX
LAM,MSR
LAM,MTQ
LAM,NIC
LAM,PAN
LAM,PER
LAM,PRI
LAM,PRY
LAM,SGS
LAM,SLV
LAM,SUR
LAM,SXM
LAM,TCA
LAM,TTO
LAM,URY
LAM,VCT
LAM,VEN
LAM,VGB
LAM,VIR
OAS,AFG
OAS,ASM
OAS,ATF
OAS,BGD
OAS,BRN
OAS,BTN
OAS,CCK
OAS,COK
OAS,CXR
OAS,FJI
OAS,FSM
OAS,GUM
OAS,IDN
OAS,IOT
OAS,KHM
OAS,KIR
OAS,KOR
OAS,LAO
OAS,LKA
OAS,MDV
OAS,MHL
OAS,MMR
OAS,MNG
OAS,MNP
OAS,MYS
OAS,NCL
OAS,NFK
OAS,NIU
OAS,NPL
OAS,NRU
OAS,PAK
OAS,PCN
OAS,PHL
OAS,PLW
OAS,PNG
OAS,PRK
OAS,PYF
OAS,SGP
OAS,SLB
OAS,THA
OAS,TKL
OAS,TLS
OAS,TON
OAS,TUV
OAS,UMI
OAS,VNM
OAS,VUT
OAS,WLF
OAS,WSM
SSA,AGO
SSA,BDI
SSA,BEN
SSA,BFA
SSA,BWA
SSA,CAF
SSA,CIV
SSA,CMR
SSA,COD
SSA,COG
SSA,COM
SSA,CPV
SSA,DJI
SSA,ERI
SSA,ETH
SSA,GAB
SSA,GHA
SSA,GIN
SSA,GMB
SSA,GNB
SSA,GNQ
SSA,KEN
SSA,LBR
SSA,LSO
SSA,MDG
SSA,MLI
SSA,MOZ
SSA,MRT
SSA,MUS
SSA,MWI
SSA,MYT
SSA,NAM
SSA,NER
SSA,NGA
SSA,REU
SSA,RWA
SSA,SEN
SSA,SHN
SSA,SLE
SSA,SOM
SSA,SSD
SSA,STP
SSA,SWZ
SSA,SYC
SSA,TCD
SSA,TGO
SSA,TZA
SSA,UGA
SSA,ZAF
SSA,ZMB
SSA,ZWE
MEA,ARE
MEA,BHR
MEA,DZA
MEA,EGY
MEA,ESH
MEA,IRN
MEA,IRQ
MEA,ISR
MEA,JOR
MEA,KWT
MEA,LBN
MEA,LBY
MEA,MAR
MEA,OMN
MEA,PSE
MEA,QAT
MEA,SAU
MEA,SDN
MEA,SYR
MEA,TUN
MEA,YEM
REF,ARM
REF,AZE
REF,BLR
REF,GEO
REF,KAZ
REF,KGZ
REF,MDA
REF,RUS
REF,TJK
REF,TKM
REF,UKR
REF,UZB
EUR,ALA
EUR,AUT
EUR,BEL
EUR,BGR
EUR,CYP
EUR,CZE
EUR,DEU
EUR,DNK
EUR,ESP
EUR,EST
EUR,FIN
EUR,FRA
EUR,FRO
EUR,GBR
EUR,GGY
EUR,GIB
EUR,GRC
EUR,HRV
EUR,HUN
EUR,IMN
EUR,IRL
EUR,ITA
EUR,JEY
EUR,LTU
EUR,LUX
EUR,LVA
EUR,MLT
EUR,NLD
EUR,POL
EUR,PRT
EUR,ROU
EUR,SVK
EUR,SVN
EUR,SWE
NEU,ALB
NEU,AND
NEU,BIH
NEU,CHE
NEU,GRL
NEU,ISL
NEU,XKX
NEU,LIE
NEU,MCO
NEU,MKD
NEU,MNE
NEU,NOR
NEU,SJM
NEU,SMR
NEU,SRB
NEU,TUR
NEU,VAT
CAZ,AUS
CAZ,CAN
CAZ,HMD
CAZ,NZL
CAZ,SPM
CHA,CHN
CHA,HKG
CHA,MAC
CHA,TWN
IND,IND
JPN,JPN
USA,USA
