"EXIOBASE sector","SCAF sector"
"Paddy rice","AGRICULTURE"
"Wheat","AGRICULTURE"
"Cereal grains nec","AGRICULTURE"
"Vegetables, fruit, nuts","AGRICULTURE"
"Oil seeds","AGRICULTURE"
"Sugar cane, sugar beet","AGRICULTURE"
"Plant-based fibers","AGRICULTURE"
"Crops nec","AGRICULTURE"
"Cattle","AGRICULTURE"
"Pigs","AGRICULTURE"
"Poultry","AGRICULTURE"
"Meat animals nec","AGRICULTURE"
"Animal products nec","AGRICULTURE"
"Raw milk","AGRICULTURE"
"Wool, silk-worm cocoons","AGRICULTURE"
"Manure (conventional treatment)","AGRICULTURE"
"Manure (biogas treatment)","BIOMASS"
"Products of forestry, logging and related services (02)","BIOMASS"
"Fish and other fishing products;  services incidental of fishing (05)","AGRICULTURE"
"Anthracite","COAL"
"Coking Coal","COAL"
"Other Bituminous Coal","COAL"
"Sub-Bituminous Coal","COAL"
"Patent Fuel","OTHER ENERGY"
"Lignite/Brown Coal","COAL"
"BKB/Peat Briquettes","OTHER ENERGY"
"Peat","OTHER ENERGY"
"Crude petroleum and services related to crude oil extraction, excluding surveying","OIL"
"Natural gas and services related to natural gas extraction, excluding surveying","GAS"
"Natural Gas Liquids","OTHER ENERGY"
"Other Hydrocarbons","OTHER ENERGY"
"Uranium and thorium ores (12)","OTHER ENERGY"
"Iron ores","MANUFACTURE"
"Copper ores and concentrates","MANUFACTURE"
"Nickel ores and concentrates","MANUFACTURE"
"Aluminium ores and concentrates","MANUFACTURE"
"Precious metal ores and concentrates","MANUFACTURE"
"Lead, zinc and tin ores and concentrates","MANUFACTURE"
"Other non-ferrous metal ores and concentrates","MANUFACTURE"
"Stone","MANUFACTURE"
"Sand and clay","MANUFACTURE"
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.","MANUFACTURE"
"Products of meat cattle","MANUFACTURE"
"Products of meat pigs","MANUFACTURE"
"Products of meat poultry","MANUFACTURE"
"Meat products nec","MANUFACTURE"
"products of Vegetable oils and fats","MANUFACTURE"
"Dairy products","MANUFACTURE"
"Processed rice","MANUFACTURE"
"Sugar","MANUFACTURE"
"Food products nec","MANUFACTURE"
"Beverages","MANUFACTURE"
"Fish products","MANUFACTURE"
"Tobacco products (16)","MANUFACTURE"
"Textiles (17)","MANUFACTURE"
"Wearing apparel;  furs (18)","MANUFACTURE"
"Leather and leather products (19)","MANUFACTURE"
"Wood and products of wood and cork (except furniture);  articles of straw and plaiting materials (20)","MANUFACTURE"
"Wood material for treatment, Re-processing of secondary wood material into new wood material","MANUFACTURE"
"Pulp","MANUFACTURE"
"Secondary paper for treatment, Re-processing of secondary paper into new pulp","MANUFACTURE"
"Paper and paper products","MANUFACTURE"
"Printed matter and recorded media (22)","MANUFACTURE"
"Coke Oven Coke","OTHER ENERGY"
"Gas Coke","OTHER ENERGY"
