variable_solver,file_name,variable_preprocessing,row_label,col_label
K,macro_indicators/macro_indicators.csv,Capital Stock|Non-ESM,,
L,SSP2/population.csv,Population,,
GDPreal,macro_indicators/macro_indicators.csv,GDP|PPP,,
wI,macro_indicators/macro_indicators.csv,Investment share,,
E_vol,Hybridization/hybridization_df.csv,Volume,Energy consumers,Energy uses
rhoE,Hybridization/hybridization_df.csv,Rho,Energy consumers,Energy uses
rhoX,Energy_trade/energy_trade_projection.csv,Rho|Export,Sector,
rhoM,Energy_trade/energy_trade_projection.csv,Rho|Import,Sector,
Xj,Energy_trade/energy_trade_projection.csv,Export|Energy,Sector,
Mj,Energy_trade/energy_trade_projection.csv,Import|Energy,Sector,
a_Ej,Technical_coefficients/technical_coefficients.csv,Technical coefficients,Energy consumers,Energy uses
