"variable_name","row_label","col_label"
"K",,
"L",,
"GDPreal",,
"wI",,
"bKLj","AGRICULTURE",
"bKLj","MANUFACTURE",
"bKLj","SERVICES",
"bKLj","STEEL",
"bKLj","CHEMICAL",
"bKLj","ENERGY",
"bKLj","TRANSPORTATION",
"E_vol","HOUSEHOLDS","R&C"
"E_vol","HOUSEHOLDS","PAS"
"rhoE","AGRICULTURE","CH"
"rhoE","AGRICULTURE","FRE"
"rhoE","AGRICULTURE","IND"
"rhoE","AGRICULTURE","PAS"
"rhoE","AGRICULTURE","R&C"
"rhoE","AGRICULTURE","ST"
"rhoE","MANUFACTURE","CH"
"rhoE","MANUFACTURE","FRE"
"rhoE","MANUFACTURE","IND"
"rhoE","MANUFACTURE","PAS"
"rhoE","MANUFACTURE","R&C"
"rhoE","MANUFACTURE","ST"
"rhoE","SERVICES","CH"
"rhoE","SERVICES","FRE"
"rhoE","SERVICES","IND"
"rhoE","SERVICES","PAS"
"rhoE","SERVICES","R&C"
"rhoE","SERVICES","ST"
"rhoE","STEEL","CH"
"rhoE","STEEL","FRE"
"rhoE","STEEL","IND"
"rhoE","STEEL","PAS"
"rhoE","STEEL","R&C"
"rhoE","STEEL","ST"
"rhoE","CHEMICAL","CH"
"rhoE","CHEMICAL","FRE"
"rhoE","CHEMICAL","IND"
"rhoE","CHEMICAL","PAS"
"rhoE","CHEMICAL","R&C"
"rhoE","CHEMICAL","ST"
"rhoE","ENERGY","CH"
"rhoE","ENERGY","FRE"
"rhoE","ENERGY","IND"
"rhoE","ENERGY","PAS"
"rhoE","ENERGY","R&C"
"rhoE","ENERGY","ST"
"rhoE","TRANSPORTATION","CH"
"rhoE","TRANSPORTATION","FRE"
"rhoE","TRANSPORTATION","IND"
"rhoE","TRANSPORTATION","PAS"
"rhoE","TRANSPORTATION","R&C"
"rhoE","TRANSPORTATION","ST"
"rhoE","HOUSEHOLDS","CH"
"rhoE","HOUSEHOLDS","FRE"
"rhoE","HOUSEHOLDS","IND"
"rhoE","HOUSEHOLDS","PAS"
"rhoE","HOUSEHOLDS","R&C"
"rhoE","HOUSEHOLDS","ST"
"Xj","ENERGY",
"rhoM",,
"rhoX",,
"a_Ej","AGRICULTURE","CH"
"a_Ej","ENERGY","CH"
"a_Ej","MANUFACTURE","CH"
"a_Ej","CHEMICAL","CH"
"a_Ej","STEEL","CH"
"a_Ej","SERVICES","CH"
"a_Ej","TRANSPORTATION","CH"
"a_Ej","AGRICULTURE","FRE"
"a_Ej","ENERGY","FRE"
"a_Ej","MANUFACTURE","FRE"
"a_Ej","CHEMICAL","FRE"
"a_Ej","STEEL","FRE"
"a_Ej","SERVICES","FRE"
"a_Ej","TRANSPORTATION","FRE"
"a_Ej","AGRICULTURE","IND"
"a_Ej","ENERGY","IND"
"a_Ej","MANUFACTURE","IND"
"a_Ej","CHEMICAL","IND"
"a_Ej","STEEL","IND"
"a_Ej","SERVICES","IND"
"a_Ej","TRANSPORTATION","IND"
"a_Ej","AGRICULTURE","PAS"
"a_Ej","ENERGY","PAS"
"a_Ej","MANUFACTURE","PAS"
"a_Ej","CHEMICAL","PAS"
"a_Ej","STEEL","PAS"
"a_Ej","SERVICES","PAS"
"a_Ej","TRANSPORTATION","PAS"
"a_Ej","AGRICULTURE","PE"
"a_Ej","ENERGY","PE"
"a_Ej","MANUFACTURE","PE"
"a_Ej","CHEMICAL","PE"
"a_Ej","STEEL","PE"
"a_Ej","SERVICES","PE"
"a_Ej","TRANSPORTATION","PE"
"a_Ej","AGRICULTURE","R&C"
"a_Ej","ENERGY","R&C"
"a_Ej","MANUFACTURE","R&C"
"a_Ej","CHEMICAL","R&C"
"a_Ej","STEEL","R&C"
"a_Ej","SERVICES","R&C"
"a_Ej","TRANSPORTATION","R&C"
"a_Ej","AGRICULTURE","ST"
"a_Ej","ENERGY","ST"
"a_Ej","MANUFACTURE","ST"
"a_Ej","CHEMICAL","ST"
"a_Ej","STEEL","ST"
"a_Ej","SERVICES","ST"
"a_Ej","TRANSPORTATION","ST"
