Category,,Imp,Imp,Imp,Imp,Imp,Imp,Imp,,Dom,Dom,Dom,Dom,Dom,Dom,Dom,,,Imp,Dom,,Imp,Dom,,Imp,Dom,,,,,,
Subcategory,,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,∑∑,C_HSLD,C_HSLD,∑,C_Ap,C_Ap,∑,FBCF,FBCF,∑,EXP,EXP_TRANSP,∑,,∑∑∑
CI_imp,AGRICULTURE,5247.03996757579,32107.065775522497,5348.9573302133,16.110418619940898,1374.1892720026501,649.85764204574,527.009706258214,45270.230112238125,44852.1045745,207295.002854,33630.0621359,32.398409465,6487.71237578,3888.61065604,3085.49840255,299271.389408235,344541.6195204731,33444.21558640696,148124.8060864167,181569.02167282367,1.686026124468491,1402.85239172,1404.5384178444685,1903.1746167513652,15024.542674531,16927.717291282366,34448.643862758814,0.0,34448.643862758814,0.0,578891.5407651823
CI_imp,MANUFACTURE,5129.680017147701,273712.93773544,92101.1017545,3670.5333255446994,7474.1027098859995,13355.355829353,11148.045412111003,406591.7567839823,73481.110505,2269393.54421,1011108.11919,29066.4826245,50943.0789864,84893.509365,61962.1871224,3580848.0320033,3987439.788787282,282570.87554028997,1332638.7269284371,1615209.6024687272,1560.7129951763998,15873.0733481,17433.7863432764,164783.3346588105,2132270.2613745397,2297053.59603335,1418298.8217539445,0.0,1418298.8217539445,0.0,9335435.595386581
CI_imp,SERVICES,5042.3520184236,108755.13356151001,270352.78144041996,1531.3546567079002,11526.473030733,19541.634164517,19609.617843103,436359.3467154145,76411.4164237,1566690.17213,5042753.23641,31481.544526,114927.768382,172651.999918,257913.735427,7262829.873216699,7699189.219932114,86578.45049577541,5633532.254019,5720110.704514775,13241.3393808778,3337833.87749,3351075.216870878,58615.24693911156,979741.2084232299,1038356.4553623414,725576.0003009848,0.0,725576.0003009848,0.0,18534307.596981093
CI_imp,STEEL,30.232653787248903,15733.504486719,2058.7708899781,4038.8745138722993,199.37898460235,450.06642058003,315.48384897190004,22826.31179851093,215.734019045,89673.5274831,12216.7174362,23461.6511225,848.21601952,1788.65614945,656.376282304,128860.87851211902,151687.19031062996,0.060214260292342,0.535667906451,0.595882166743342,0.0,0.0,0.0,457.7842790426172,3455.8265953007804,3913.6108743433974,39759.60994377255,0.0,39759.60994377255,0.0,195361.00701091264
CI_imp,CHEMICAL,5403.750442332,55421.18194832501,26682.833469601006,773.64788420934,25330.216909674,10005.2290741115,706.53642789965,124323.3961561525,11166.2212992,106255.08917,56755.0559512,1477.40750472,60499.6670069,15232.0836449,2342.55685001,253728.08142693003,378051.4775830825,10333.63058436875,17316.076377427227,27649.70696179598,19816.329798993,111410.382065,131226.711863993,8524.27238509879,19219.470301718902,27743.74268681769,176719.85063195424,0.0,176719.85063195424,0.0,741391.4897276434
CI_imp,ENERGY,2559.91701108683,24239.741347969197,20981.081373468554,1708.97272062395,25362.662571991892,149952.07872791123,8600.07688544547,233404.53063849712,24553.3506067,176046.796841,203785.50323,10517.1211034,24871.1262632,274594.407441,42404.5032305,756772.8087158,990177.3393542971,18998.177735912235,333651.4754744408,352649.653210353,0.0,0.0,0.0,14183.628729063463,19939.587119948203,34123.21584901166,67512.10674281437,0.0,67512.10674281437,0.0,1444462.3151564763
CI_imp,TRANSPORTATION,845.93196713021,21409.955037001,28247.617582507,1030.8168955795502,1783.2670039515,4660.741699484801,38286.360269093,96264.69045474706,7223.85866681,167393.446377,297004.757955,8689.21936269,14817.738614,37749.7878651,101740.091633,634618.9004736,730883.5909283471,50141.12474347551,416511.48685593257,466652.6115994081,94.565269285995,36943.8447562,37038.410025485995,508.4962608596339,8592.4654542468,9100.961715106434,151463.56171419477,0.0,151463.56171419477,0.0,1395139.1359825423
CI_imp,∑,24258.90407748338,531379.5198924867,445773.143840688,12770.310415157679,73050.2904828414,198614.96355800328,79193.13039288223,,,,,,,,,,,,,,,,,,,,,,,,
CI_dom,AGRICULTURE,44852.1045745,207295.002854,33630.0621359,32.398409465,6487.71237578,3888.61065604,3085.49840255,,,,,,,,,,,,,,,,,,,,,,,,
