"Model","Scenario","Region","Variable","Energy consumers","Energy uses","Unit",2020
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","AGRICULTURE","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","AGRICULTURE","P","EJ",1.12372204278219
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","AGRICULTURE","T","EJ",0.0316565043877559
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","AGRICULTURE","B","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","MANUFACTURE","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","MANUFACTURE","P","EJ",7.95167683165198
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","MANUFACTURE","T","EJ",0.730039092897969
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","MANUFACTURE","B","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","SERVICES","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","SERVICES","P","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","SERVICES","T","EJ",1.28391784925341
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","SERVICES","B","EJ",6.28924650738177
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","ENERGY","PE","EJ",38.3993912043002
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","ENERGY","P","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","ENERGY","T","EJ",0.0451800742763224
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","ENERGY","B","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","STEEL","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","STEEL","P","EJ",2.81638909325368
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","STEEL","T","EJ",0.00910106472217453
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","STEEL","B","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","CHEMICAL","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","CHEMICAL","P","EJ",6.30229095130745
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","CHEMICAL","T","EJ",0.0266857327851923
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","CHEMICAL","B","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","TRANSPORTATION","PE","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","TRANSPORTATION","P","EJ",0
"REMIND-MAgPIE 3.2-4.6","Below 2°C","REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia","Volume","TRANSPORTATION","T","EJ",8.24555245050124
