Model,Scenario,Region,Variable,Energy consumers,Energy uses,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,AGRICULTURE,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,AGRICULTURE,P,EJ,1.123722042782193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,AGRICULTURE,T,EJ,0.031656504387755885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,AGRICULTURE,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,MANUFACTURE,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,MANUFACTURE,P,EJ,7.951676831651978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,MANUFACTURE,T,EJ,0.7300390928979693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,MANUFACTURE,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,SERVICES,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,SERVICES,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,SERVICES,T,EJ,1.2839178492534051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,SERVICES,B,EJ,6.289246507381772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,ENERGY,PE,EJ,38.39939120430019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,ENERGY,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,ENERGY,T,EJ,0.045180074276322445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,ENERGY,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,STEEL,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,STEEL,P,EJ,2.816389093253681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,STEEL,T,EJ,0.009101064722174526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,STEEL,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,CHEMICAL,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,CHEMICAL,P,EJ,6.3022909513074525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,CHEMICAL,T,EJ,0.02668573278519232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,CHEMICAL,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,TRANSPORTATION,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,TRANSPORTATION,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,TRANSPORTATION,T,EJ,8.245552450501238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,TRANSPORTATION,B,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,HOUSEHOLDS,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,HOUSEHOLDS,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,HOUSEHOLDS,T,EJ,6.95874337086512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Volume,HOUSEHOLDS,B,EJ,11.700789029633581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,AGRICULTURE,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,AGRICULTURE,P,EJ,1368.8120413224499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,AGRICULTURE,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,AGRICULTURE,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,MANUFACTURE,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,MANUFACTURE,P,EJ,1712.1239511321205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,MANUFACTURE,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,MANUFACTURE,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,SERVICES,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,SERVICES,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,SERVICES,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,SERVICES,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,ENERGY,PE,EJ,1504.389731220997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,ENERGY,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,ENERGY,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,ENERGY,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,STEEL,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,STEEL,P,EJ,931.2333590372773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,STEEL,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,STEEL,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,CHEMICAL,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,CHEMICAL,P,EJ,1357.2500304368139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,CHEMICAL,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,CHEMICAL,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,TRANSPORTATION,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,TRANSPORTATION,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,TRANSPORTATION,T,EJ,3119.781385980494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,TRANSPORTATION,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,HOUSEHOLDS,PE,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,HOUSEHOLDS,P,EJ,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,HOUSEHOLDS,T,EJ,6498.019326913869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMIND-MAgPIE 3.2-4.6,Below 2°C,"REMIND-MAgPIE 3.2-4.6|Canada, NZ, Australia",Price,HOUSEHOLDS,B,EJ,355.2201805110331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
